Year,Brand,NumOfHybrids
2010,Crosbyton Seed,1
2010,DynaGro Seed,3
2010,Golden Acres Genetics,5
2010,Monsanto,11
2010,Pioneer Hi-Bred,10
2010,Syngenta Seeds,5
2010,TAES,5
2010,Terral Seed Inc.,7
2010,Triumph Seed Co. Inc.,6
2010,Wilbur Ellis Co.,9
2011,.,1
2011,Alta Seeds,6
2011,Bio International Genetics,2
2011,Gayland Ward,4
2011,Golden Acres Genetics,4
2011,Monsanto,7
2011,Pioneer Hi-Bred,8
2011,Sorghum Partners,13
2011,TAES,5
2011,Terral Seed Inc.,6
2011,Triumph Seed Co. Inc.,5
2011,Wilbur Ellis Co.,4
2012,.,2
2012,B-H Genetics,3
2012,Gayland Ward,5
2012,Golden Acres Genetics,4
2012,Monsanto,7
2012,NUSEED MEXICO,2
2012,Pioneer Hi-Bred,6
2012,Sorghum Partners,11
2012,TAES,5
2012,Terral Seed Inc.,7
2012,Triumph Seed Co. Inc.,5
2012,Wilbur Ellis Co.,5
2013,.,2
2013,Alta Seeds,11
2013,B-H Genetics,4
2013,Gayland Ward,8
2013,Golden Acres Genetics,6
2013,Monsanto,10
2013,PIFSV,2
2013,Pioneer Hi-Bred,8
2013,Sorghum Partners,13
2013,TAES,7
2013,Terral Seed Inc.,10
2013,Triumph Seed Co. Inc.,10
2013,Wilbur-Ellis Company/Integr,a               3
2014,Alta Seeds,17
2014,"Armor Seed, LLC",13
2014,Browning,2
2014,Chromatin,20
2014,Gayland Ward,4
2014,Golden Acres Genetics,7
2014,Monsanto,10
2014,Mycogen Seeds,7
2014,TAES,3
2014,Terral Seed Inc.,4
2014,Wilbur Ellis Co.,2
2015,Alta Seeds,14
2015,Anzu Genetica,7
2015,Browning,3
2015,Chromatin,4
2015,DeKalb,6
2015,Gayland Ward,13
2015,Golden Acres Genetics,7
2015,Integra,2
2015,Monsanto,5
2015,Mycogen Seeds,3
2015,NuTech,4
2015,PIFSV,2
2015,Pioneer Hi-Bred,4
2015,REV,3
2015,Sorghum Partners,5
2015,TAES,3
2015,Terral Seed Inc.,2
2016,Alta Seeds,6
2016,Chromatin,8
2016,DeKalb,5
2016,Gayland Ward,8
2016,Golden Acres Genetics,4
2016,Integra,4
2016,NuTech,4
2016,REV,3
2016,Sorghum Partners,7
2016,TAES,3
2017,AgriComm Seeds,1
2017,Alta Seeds,3
2017,Anzu Genetica,3
2017,B-H Genetics,1
2017,Chromatin,3
2017,DEKALB,5
2017,Dyna-Gro,9
2017,Gayland Ward,5
2017,Golden Acres,6
2017,Integra,3
2017,NuTech,4
2017,Pioneer,1
2017,REV,3
2017,Sorghum Partners,3
2017,Texas A&M AgriLife Research,16
2018,Alta Seeds,3
2018,Anzu Genetica,3
2018,B-H Genetics,1
2018,Browning,9
2018,DEKALB,5
2018,Dyna-Gro,9
2018,Gayland Ward,9
2018,Gold Source,4
2018,Golden Acres,3
2018,Integra,3
2018,KSU x TAMU,3
2018,MOJO Seed,1
2018,NuTech,4
2018,Pioneer,5
2018,REV,3
2018,S&W Seed,3
2018,Sorghum Partners,1
2018,TAMU x KSU,3
2018,Texas A&M AgriLife Research,4
2018,USDA Lubbock,5
2019,Alta Seeds,3
2019,B-H Genetics,1
2019,DEKALB,6
2019,Dyna-Gro,14
2019,Gayland Ward,8
2019,Golden Acres,3
2019,Integra,3
2019,Pioneer,3
2019,REV,4
2019,Sorghum Partners,4
2019,Texas A&M AgriLife Research,4
2020,Alta Seeds,1
2020,DEKALB,5
2020,Dyna-Gro,11
2020,Gayland Ward,4
2020,Golden Acres,3
2020,Integra,5
2020,Pioneer,4
2020,Sorghum Partners,10
2020,Texas A&M AgriLife Research,3
2021,Alta Seeds,1
2021,DEKALB,6
2021,Dyna-Gro,10
2021,Golden Acres,2
2021,Integra,4
2021,Pioneer,2
2021,Texas A&M AgriLife Research,1
